key,value,date
Canada to United States,1509,1990
United States to United States,0,1990
Angola to United States,0,1990
Burundi to United States,797,1990
Benin to United States,0,1990
Burkina Faso to United States,0,1990
Botswana to United States,0,1990
Central African Republic to United States,0,1990
Ivory Coast to United States,240,1990
Cameroon to United States,770,1990
DR Congo to United States,0,1990
Congo to United States,0,1990
Comoros to United States,0,1990
Cape Verde to United States,0,1990
Djibouti to United States,95,1990
Algeria to United States,1498,1990
Egypt to United States,54838,1990
Eritrea to United States,5892,1990
Western Sahara to United States,0,1990
Ethiopia to United States,0,1990
Gabon to United States,0,1990
Ghana to United States,49,1990
Guinea to United States,0,1990
Gambia to United States,1584,1990
Guinea-Bissau to United States,4,1990
Equatorial Guinea to United States,0,1990
Kenya to United States,14004,1990
Liberia to United States,7623,1990
Libya to United States,400,1990
Lesotho to United States,2,1990
Morocco to United States,9243,1990
Madagascar to United States,36,1990
Mali to United States,0,1990
Mozambique to United States,0,1990
Mauritania to United States,197,1990
Mauritius to United States,167,1990
Malawi to United States,1132,1990
Mayotte to United States,0,1990
Namibia to United States,0,1990
Niger to United States,9,1990
Nigeria to United States,15069,1990
Reunion to United States,12,1990
Rwanda to United States,4897,1990
Sudan to United States,0,1990
Senegal to United States,333,1990
Sierra Leone to United States,3934,1990
Somalia to United States,19006,1990
South Sudan to United States,9131,1990
Sao Tome & Principe to United States,0,1990
Swaziland to United States,0,1990
Chad to United States,0,1990
Togo to United States,32,1990
Tunisia to United States,510,1990
Tanzania to United States,8,1990
Uganda to United States,6330,1990
South Africa to United States,0,1990
Zambia to United States,8,1990
Zimbabwe to United States,2722,1990
Albania to United States,18081,1990
Austria to United States,38,1990
Belgium to United States,160,1990
Bulgaria to United States,17705,1990
Bosnia & Herzegovina to United States,51117,1990
Switzerland to United States,96,1990
Channel Islands to United States,0,1990
Czech Republic to United States,0,1990
Germany to United States,697,1990
Denmark to United States,4,1990
Spain to United States,578,1990
Finland to United States,0,1990
France to United States,2883,1990
United Kingdom to United States,1151,1990
Greece to United States,63,1990
Croatia to United States,61,1990
Hungary to United States,3,1990
Ireland to United States,0,1990
Iceland to United States,1,1990
Italy to United States,2588,1990
Luxembourg to United States,4,1990
Macedonia to United States,295,1990
Malta to United States,0,1990
Montenegro to United States,0,1990
Netherlands to United States,435,1990
Norway to United States,37,1990
Poland to United States,22,1990
Portugal to United States,0,1990
Romania to United States,42443,1990
Serbia to United States,0,1990
Slovakia to United States,0,1990
Slovenia to United States,0,1990
Sweden to United States,38,1990
Armenia to United States,32539,1990
Azerbaijan to United States,2589,1990
Belarus to United States,1572,1990
Estonia to United States,1885,1990
Georgia to United States,6910,1990
Kazakhstan to United States,11467,1990
Kyrgyzstan to United States,3834,1990
Lithuania to United States,809,1990
Latvia to United States,1025,1990
Moldova to United States,2296,1990
Russia to United States,1392,1990
Tajikistan to United States,901,1990
Turkmenistan to United States,0,1990
Ukraine to United States,12713,1990
Uzbekistan to United States,6203,1990
United Arab Emirates to United States,3699,1990
Bahrain to United States,505,1990
Cyprus to United States,0,1990
Iraq to United States,11512,1990
Israel to United States,0,1990
Jordan to United States,79,1990
Kuwait to United States,61422,1990
Lebanon to United States,0,1990
Oman to United States,807,1990
Palestine to United States,0,1990
Qatar to United States,1921,1990
Saudi Arabia to United States,18038,1990
Syria to United States,1510,1990
Turkey to United States,2362,1990
Yemen to United States,0,1990
Afghanistan to United States,0,1990
Bangladesh to United States,48234,1990
Bhutan to United States,7091,1990
India to United States,202309,1990
Iran to United States,0,1990
Sri Lanka to United States,26244,1990
Maldives to United States,227,1990
Nepal to United States,4955,1990
Pakistan to United States,36,1990
China to United States,222772,1990
Hong Kong to United States,26202,1990
Japan to United States,25119,1990
South Korea to United States,327767,1990
Macao to United States,884,1990
Mongolia to United States,3114,1990
North Korea to United States,0,1990
Brunei to United States,304,1990
Indonesia to United States,46967,1990
Cambodia to United States,0,1990
Laos to United States,17390,1990
Myanmar to United States,17650,1990
Malaysia to United States,7858,1990
Philippines to United States,302134,1990
Singapore to United States,6206,1990
Thailand to United States,340629,1990
Timor-Leste to United States,0,1990
Vietnam to United States,176055,1990
Australia to United States,4289,1990
Fiji to United States,8285,1990
Micronesia to United States,1452,1990
Guam to United States,122,1990
New Caledonia to United States,23,1990
New Zealand to United States,383,1990
Papua New Guinea to United States,209,1990
French Polynesia to United States,227,1990
Solomon Islands to United States,36,1990
Tonga to United States,3565,1990
Vanuatu to United States,0,1990
Samoa to United States,1561,1990
Aruba to United States,0,1990
Argentina to United States,5143,1990
Bahamas to United States,4762,1990
Belize to United States,8397,1990
Bolivia to United States,13928,1990
Brazil to United States,36230,1990
Barbados to United States,392,1990
Chile to United States,8,1990
Colombia to United States,94014,1990
Costa Rica to United States,18004,1990
Cuba to United States,67165,1990
Dominican Republic to United States,133791,1990
Ecuador to United States,44937,1990
Guadeloupe to United States,3970,1990
Grenada to United States,3158,1990
Guatemala to United States,320883,1990
French Guiana to United States,134,1990
Guyana to United States,28431,1990
Honduras to United States,100510,1990
Haiti to United States,82505,1990
Jamaica to United States,87864,1990
Saint Lucia to United States,3174,1990
Mexico to United States,1850468,1990
Martinique to United States,467,1990
Nicaragua to United States,41413,1990
Panama to United States,3907,1990
Peru to United States,105573,1990
Puerto Rico to United States,70691,1990
Paraguay to United States,3531,1990
El Salvador to United States,228872,1990
Suriname to United States,482,1990
Trinidad & Tobago to United States,16868,1990
Uruguay to United States,175,1990
Saint Vincent & Grenadines to United States,3971,1990
Venezuela to United States,25212,1990
Virgin Islands to United States,2291,1990
Canada to United States,190436,1995
United States to United States,0,1995
Angola to United States,2892,1995
Burundi to United States,28,1995
Benin to United States,129,1995
Burkina Faso to United States,1506,1995
Botswana to United States,304,1995
Central African Republic to United States,287,1995
Ivory Coast to United States,16646,1995
Cameroon to United States,6037,1995
DR Congo to United States,7895,1995
Congo to United States,1799,1995
Comoros to United States,12,1995
Cape Verde to United States,7340,1995
Djibouti to United States,0,1995
Algeria to United States,8157,1995
Egypt to United States,126877,1995
Eritrea to United States,686,1995
Western Sahara to United States,0,1995
Ethiopia to United States,30222,1995
Gabon to United States,158,1995
Ghana to United States,18408,1995
Guinea to United States,3654,1995
Gambia to United States,6304,1995
Guinea-Bissau to United States,59,1995
Equatorial Guinea to United States,0,1995
Kenya to United States,30231,1995
Liberia to United States,0,1995
Libya to United States,17766,1995
Lesotho to United States,579,1995
Morocco to United States,20572,1995
Madagascar to United States,465,1995
Mali to United States,550,1995
Mozambique to United States,5924,1995
Mauritania to United States,529,1995
Mauritius to United States,865,1995
Malawi to United States,1237,1995
Mayotte to United States,0,1995
Namibia to United States,1164,1995
