key,value,date
Magazine One,0,7/15/2015
Magazine One,0,7/16/2015
Magazine One,0,7/17/2015
Magazine One,0,7/18/2015
Magazine One,272382,7/19/2015
Magazine One,56763,7/20/2015
Magazine One,331577,7/21/2015
Magazine One,427350,7/22/2015
Magazine One,483400,7/23/2015
Magazine One,599465,7/24/2015
Magazine One,572222,7/25/2015
Magazine One,578626,7/26/2015
Magazine One,520651,7/27/2015
Magazine One,499877,7/28/2015
Magazine One,482501,7/29/2015
Magazine One,379775,7/30/2015
Magazine One,85617,7/31/2015
Magazine One,277568,8/1/2015
Magazine One,206008,8/2/2015
Magazine One,420253,8/3/2015
Magazine One,482666,8/4/2015
Magazine One,438622,8/5/2015
Magazine One,345963,8/6/2015
Magazine One,317391,8/7/2015
Magazine One,339225,8/8/2015
Magazine One,176985,8/9/2015
Magazine One,383802,8/10/2015
Magazine One,440485,8/11/2015
Magazine One,499633,8/12/2015
Magazine One,491543,8/13/2015
Magazine One,478928,8/14/2015
Magazine One,392708,8/15/2015
Retargeting Vendor,172200,7/15/2015
Retargeting Vendor,208618,7/16/2015
Retargeting Vendor,212260,7/17/2015
Retargeting Vendor,166308,7/18/2015
Retargeting Vendor,297381,7/19/2015
Retargeting Vendor,368991,7/20/2015
Retargeting Vendor,610315,7/21/2015
Retargeting Vendor,355231,7/22/2015
Retargeting Vendor,569797,7/23/2015
Retargeting Vendor,617402,7/24/2015
Retargeting Vendor,618271,7/25/2015
Retargeting Vendor,583224,7/26/2015
Retargeting Vendor,579871,7/27/2015
Retargeting Vendor,1531667,7/28/2015
Retargeting Vendor,1674837,7/29/2015
Retargeting Vendor,1499893,7/30/2015
Retargeting Vendor,1509717,7/31/2015
Retargeting Vendor,1398273,8/1/2015
Retargeting Vendor,1711196,8/2/2015
Retargeting Vendor,2237636,8/3/2015
Retargeting Vendor,2229582,8/4/2015
Retargeting Vendor,2403252,8/5/2015
Retargeting Vendor,2489519,8/6/2015
Retargeting Vendor,2196629,8/7/2015
Retargeting Vendor,1495610,8/8/2015
Retargeting Vendor,841698,8/9/2015
Retargeting Vendor,3204976,8/10/2015
Retargeting Vendor,3091216,8/11/2015
Retargeting Vendor,3219320,8/12/2015
Retargeting Vendor,2835042,8/13/2015
Retargeting Vendor,2427543,8/14/2015
Retargeting Vendor,2387666,8/15/2015
Magazine Two,0,7/15/2015
Magazine Two,0,7/16/2015
Magazine Two,0,7/17/2015
Magazine Two,0,7/18/2015
Magazine Two,0,7/19/2015
Magazine Two,95236,7/20/2015
Magazine Two,115870,7/21/2015
Magazine Two,563668,7/22/2015
Magazine Two,393047,7/23/2015
Magazine Two,457832,7/24/2015
Magazine Two,580930,7/25/2015
Magazine Two,468795,7/26/2015
Magazine Two,1533545,7/27/2015
Magazine Two,1869188,7/28/2015
Magazine Two,1822880,7/29/2015
Magazine Two,2301873,7/30/2015
Magazine Two,2046579,7/31/2015
Magazine Two,1662560,8/1/2015
Magazine Two,1550130,8/2/2015
Magazine Two,836404,8/3/2015
Magazine Two,842784,8/4/2015
Magazine Two,803768,8/5/2015
Magazine Two,751633,8/6/2015
Magazine Two,695614,8/7/2015
Magazine Two,686131,8/8/2015
Magazine Two,364641,8/9/2015
Magazine Two,1671520,8/10/2015
Magazine Two,1629461,8/11/2015
Magazine Two,1581057,8/12/2015
Magazine Two,1606862,8/13/2015
Magazine Two,1641625,8/14/2015
Magazine Two,1907248,8/15/2015
Retail Targeting,0,7/15/2015
Retail Targeting,0,7/16/2015
Retail Targeting,0,7/17/2015
Retail Targeting,0,7/18/2015
Retail Targeting,0,7/19/2015
Retail Targeting,786555,7/20/2015
Retail Targeting,1726430,7/21/2015
Retail Targeting,1757410,7/22/2015
Retail Targeting,1432961,7/23/2015
Retail Targeting,1403780,7/24/2015
Retail Targeting,1341585,7/25/2015
Retail Targeting,2220201,7/26/2015
Retail Targeting,1717281,7/27/2015
Retail Targeting,1614216,7/28/2015
Retail Targeting,1603459,7/29/2015
Retail Targeting,1289495,7/30/2015
Retail Targeting,1303611,7/31/2015
Retail Targeting,1228342,8/1/2015
Retail Targeting,1392348,8/2/2015
Retail Targeting,1547633,8/3/2015
Retail Targeting,1482395,8/4/2015
Retail Targeting,1402615,8/5/2015
Retail Targeting,1156920,8/6/2015
Retail Targeting,1096135,8/7/2015
Retail Targeting,1787099,8/8/2015
Retail Targeting,600368,8/9/2015
Retail Targeting,1322084,8/10/2015
Retail Targeting,1358323,8/11/2015
Retail Targeting,1247397,8/12/2015
Retail Targeting,1472922,8/13/2015
Retail Targeting,1286370,8/14/2015
Retail Targeting,995488,8/15/2015
Prospecting,0,7/15/2015
Prospecting,0,7/16/2015
Prospecting,6,7/17/2015
Prospecting,0,7/18/2015
Prospecting,1846851,7/19/2015
Prospecting,1903240,7/20/2015
Prospecting,2217486,7/21/2015
Prospecting,521747,7/22/2015
Prospecting,1561566,7/23/2015
Prospecting,1507394,7/24/2015
Prospecting,1445918,7/25/2015
Prospecting,1647652,7/26/2015
Prospecting,1515448,7/27/2015
Prospecting,2154954,7/28/2015
Prospecting,2577960,7/29/2015
Prospecting,84077,7/30/2015
Prospecting,239091,7/31/2015
Prospecting,1569140,8/1/2015
Prospecting,1383426,8/2/2015
Prospecting,914461,8/3/2015
Prospecting,1479900,8/4/2015
Prospecting,751494,8/5/2015
Prospecting,725295,8/6/2015
Prospecting,763889,8/7/2015
Prospecting,766059,8/8/2015
Prospecting,234706,8/9/2015
Prospecting,872685,8/10/2015
Prospecting,709429,8/11/2015
Prospecting,723405,8/12/2015
Prospecting,816222,8/13/2015
Prospecting,608487,8/14/2015
Prospecting,571707,8/15/2015
Magazine Three,0,7/15/2015
Magazine Three,0,7/16/2015
Magazine Three,5,7/17/2015
Magazine Three,0,7/18/2015
Magazine Three,0,7/19/2015
Magazine Three,23,7/20/2015
Magazine Three,0,7/21/2015
Magazine Three,0,7/22/2015
Magazine Three,255429,7/23/2015
Magazine Three,65555,7/24/2015
Magazine Three,175840,7/25/2015
Magazine Three,220919,7/26/2015
Magazine Three,231001,7/27/2015
Magazine Three,87713,7/28/2015
Magazine Three,249207,7/29/2015
Magazine Three,269260,7/30/2015
Magazine Three,467128,7/31/2015
Magazine Three,459894,8/1/2015
Magazine Three,658797,8/2/2015
Magazine Three,626293,8/3/2015
Magazine Three,477612,8/4/2015
Magazine Three,429501,8/5/2015
Magazine Three,364340,8/6/2015
Magazine Three,375283,8/7/2015
Magazine Three,755601,8/8/2015
Magazine Three,316598,8/9/2015
Magazine Three,377118,8/10/2015
Magazine Three,395330,8/11/2015
Magazine Three,392644,8/12/2015
Magazine Three,270085,8/13/2015
Magazine Three,168922,8/14/2015
Magazine Three,171504,8/15/2015
Radio Site One,0,7/15/2015
Radio Site One,0,7/16/2015
Radio Site One,0,7/17/2015
Radio Site One,0,7/18/2015
Radio Site One,0,7/19/2015
Radio Site One,0,7/20/2015
Radio Site One,206796,7/21/2015
Radio Site One,962938,7/22/2015
Radio Site One,712933,7/23/2015
Radio Site One,814299,7/24/2015
Radio Site One,640298,7/25/2015
Radio Site One,462996,7/26/2015
Radio Site One,473778,7/27/2015
Radio Site One,451535,7/28/2015
Radio Site One,448754,7/29/2015
Radio Site One,207548,7/30/2015
Radio Site One,461025,7/31/2015
Radio Site One,394533,8/1/2015
Radio Site One,410018,8/2/2015
Radio Site One,440440,8/3/2015
Radio Site One,255526,8/4/2015
Radio Site One,523735,8/5/2015
Radio Site One,311739,8/6/2015
Radio Site One,607577,8/7/2015
Radio Site One,2043690,8/8/2015
Radio Site One,501247,8/9/2015
Radio Site One,396756,8/10/2015
Radio Site One,541867,8/11/2015
Radio Site One,427478,8/12/2015
Radio Site One,534922,8/13/2015
Radio Site One,48603,8/14/2015
Radio Site One,377,8/15/2015
Radio Site Two,0,7/15/2015
Radio Site Two,0,7/16/2015
Radio Site Two,0,7/17/2015
Radio Site Two,0,7/18/2015
Radio Site Two,0,7/19/2015
Radio Site Two,0,7/20/2015
Radio Site Two,0,7/21/2015
Radio Site Two,0,7/22/2015
Radio Site Two,0,7/23/2015
Radio Site Two,0,7/24/2015
Radio Site Two,0,7/25/2015
Radio Site Two,0,7/26/2015
